features,d_corr,d_fisher,g_corr,g_fisher,collinear
mfcc2_sma3_amean,-0.03358259692536769,0.002654750977383578,0.12147941401779835,0.030487340944922645,
mfcc2_sma3_stddevNorm,0.01041018493645987,0.00028517538434588805,0.0017000837466468765,5.737808749405438e-06,
mfcc3_sma3_amean,-0.08483715500604996,0.01697824751359878,0.2634096504343274,0.15597089695811292,
mfcc3_sma3_stddevNorm,0.00204096106737003,1.4284003607394129e-05,-0.010293295407210834,0.0002548865887026699,
mfcc4_sma3_amean,-0.07138177201728288,0.012104404651969703,0.38106575575845253,0.349771547069352,
mfcc4_sma3_stddevNorm,-0.0020618473881918093,1.1741794816755304e-05,-0.0016656012150078412,5.351580284079855e-06,
jitterLocal_sma3nz_amean,-0.011558881985674422,0.00032414657615463315,-0.0292490694942546,0.001728372870065893,
jitterLocal_sma3nz_stddevNorm,0.06798009893067757,0.011236008861779792,-0.3224365768522349,0.22466056468938106,
shimmerLocaldB_sma3nz_amean,-0.029530801265891162,0.0022087764275145975,0.15231887539477396,0.05087420620291719,
shimmerLocaldB_sma3nz_stddevNorm,0.06497907092816202,0.01056999405939361,-0.24012409558840322,0.12385599517849093,
HNRdBACF_sma3nz_amean,0.11520670012183162,0.03243785509448941,-0.6279624649371631,1.2798047895843445,
HNRdBACF_sma3nz_stddevNorm,-0.022541447896790752,0.000902766380475086,0.046329370074448005,0.005273003245076374,
logRelF0-H1-H2_sma3nz_amean,0.07787509758435376,0.014353103414845303,-0.022899702751493535,0.001051700067735026,
logRelF0-H1-H2_sma3nz_stddevNorm,-0.003942866031440601,3.477250643964731e-05,0.0041686436419317695,3.2739554507558854e-05,
logRelF0-H1-A3_sma3nz_amean,-0.0030978523845314123,2.4030503571067178e-05,0.06108488987214375,0.007892058659105035,
logRelF0-H1-A3_sma3nz_stddevNorm,0.0002145819441981303,6.836078965084993e-08,-0.027773708001820573,0.001311376311162851,
F1frequency_sma3nz_amean,0.08008429490357315,0.016243354400590326,-0.2241849415226045,0.10986126323264164,
F1frequency_sma3nz_stddevNorm,-0.0065716666182408096,0.00010840073685282606,0.2814485078204077,0.18917748478083043,
F1bandwidth_sma3nz_amean,0.03314682704467844,0.0028971565879152878,-0.11026304837506894,0.02606690712317745,
F1bandwidth_sma3nz_stddevNorm,0.0321372201256036,0.0026283676890453893,0.07462303237508042,0.01194164968520926,
F1amplitudeLogRelF0_sma3nz_amean,0.025462926637948847,0.0016292451295824096,-0.07294776897285074,0.011268586794469345,
F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.009468280963561728,0.0002844009509609579,0.03712798834277884,0.002416495567212727,
F2frequency_sma3nz_amean,0.05802206241249785,0.008834439049030232,-0.1423699957410994,0.043662760427518196,
F2frequency_sma3nz_stddevNorm,-0.001922874912084097,9.323201457037615e-06,0.23092928982712202,0.12360526037196053,
F2bandwidth_sma3nz_amean,0.014772990884140183,0.0005657524573785496,-0.07979760212303283,0.013511438789921332,
F2bandwidth_sma3nz_stddevNorm,0.04163316219979254,0.004247505217471963,-0.14868470221009977,0.04658231471084499,
F2amplitudeLogRelF0_sma3nz_amean,0.037277245770353205,0.00348074835923688,-0.085638782675391,0.015575656288003229,
F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.007245638961752906,0.0001817837737643726,-0.007528445520738706,9.445871943263457e-05,
F3frequency_sma3nz_amean,0.06079940673568334,0.009754061057532846,-0.10018101946397086,0.02145338897614765,
F3frequency_sma3nz_stddevNorm,-0.02411405228896365,0.0014707542145041056,0.2193300309396713,0.10945693967569503,
F3bandwidth_sma3nz_amean,0.0029501230407332738,2.274243747650583e-05,-0.02288819311552553,0.0011081576891490087,
F3bandwidth_sma3nz_stddevNorm,0.06563038796989278,0.010688739525251623,-0.23733418955960953,0.12149803565057853,
F3amplitudeLogRelF0_sma3nz_amean,0.03640081291845165,0.003326033443828401,-0.08661133652078173,0.015939001828862164,
F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.03652824612827713,0.0033397948717555654,0.08723731163845778,0.016005131326738597,
